Trial,Reward,Cumulative Reward,Win Rate,Actual Reward
312,1.0,122.0,0.391025641025641,4
313,1.0,123.0,0.3929712460063898,1
314,0.0,123.0,0.39171974522292996,2
315,0.0,123.0,0.3904761904761905,3
316,0.0,123.0,0.38924050632911394,4
317,0.0,123.0,0.38801261829652994,1
318,0.0,123.0,0.3867924528301887,2
319,1.0,124.0,0.3887147335423197,3
320,1.0,125.0,0.390625,4
321,0.0,125.0,0.3894080996884735,1
322,1.0,126.0,0.391304347826087,2
323,1.0,127.0,0.3931888544891641,3
324,0.0,127.0,0.39197530864197533,4
325,0.0,127.0,0.39076923076923076,1
326,1.0,128.0,0.39263803680981596,2
327,1.0,129.0,0.3944954128440367,3
328,0.0,129.0,0.3932926829268293,4
329,0.0,129.0,0.39209726443769,1
330,1.0,130.0,0.3939393939393939,2
331,0.0,130.0,0.39274924471299094,3
332,0.0,130.0,0.39156626506024095,4
333,1.0,131.0,0.3933933933933934,1
334,0.0,131.0,0.39221556886227543,2
335,1.0,132.0,0.3940298507462687,3
336,0.0,132.0,0.39285714285714285,4
337,0.0,132.0,0.3916913946587537,1
338,0.0,132.0,0.3905325443786982,2
339,0.0,132.0,0.3893805309734513,3
340,1.0,133.0,0.3911764705882353,4
341,1.0,134.0,0.39296187683284456,1
342,0.0,134.0,0.391812865497076,2
343,0.0,134.0,0.39067055393586003,3
344,1.0,135.0,0.39244186046511625,4
345,1.0,136.0,0.39420289855072466,1
346,0.0,136.0,0.3930635838150289,2
347,1.0,137.0,0.39481268011527376,3
348,0.0,137.0,0.3936781609195402,4
349,1.0,138.0,0.3954154727793696,1
350,1.0,139.0,0.39714285714285713,2
351,1.0,140.0,0.39886039886039887,3
352,0.0,140.0,0.3977272727272727,4
353,0.0,140.0,0.39660056657223797,1
354,1.0,141.0,0.3983050847457627,2
355,1.0,142.0,0.4,3
356,1.0,143.0,0.40168539325842695,4
357,0.0,143.0,0.4005602240896359,1
358,0.0,143.0,0.3994413407821229,2
359,0.0,143.0,0.3983286908077994,3
360,0.0,143.0,0.3972222222222222,4
361,0.0,143.0,0.3961218836565097,1
362,0.0,143.0,0.39502762430939226,2
363,0.0,143.0,0.3939393939393939,3
364,0.0,143.0,0.39285714285714285,4
365,1.0,144.0,0.39452054794520547,1
366,0.0,144.0,0.39344262295081966,2
367,0.0,144.0,0.3923705722070845,3
368,0.0,144.0,0.391304347826087,4
369,0.0,144.0,0.3902439024390244,1
370,0.0,144.0,0.3891891891891892,2
371,0.0,144.0,0.3881401617250674,3
372,0.0,144.0,0.3870967741935484,4
373,0.0,144.0,0.38605898123324395,1
374,1.0,145.0,0.3877005347593583,2
375,0.0,145.0,0.38666666666666666,3
376,1.0,146.0,0.3882978723404255,4
377,0.0,146.0,0.38726790450928383,1
378,0.0,146.0,0.3862433862433862,2
379,1.0,147.0,0.38786279683377306,3
380,1.0,148.0,0.3894736842105263,4
381,0.0,148.0,0.3884514435695538,1
382,0.0,148.0,0.387434554973822,2
383,1.0,149.0,0.38903394255874674,3
384,0.0,149.0,0.3880208333333333,4
385,0.0,149.0,0.38701298701298703,1
386,1.0,150.0,0.38860103626943004,2
387,0.0,150.0,0.3875968992248062,3
388,1.0,151.0,0.38917525773195877,4
389,0.0,151.0,0.38817480719794345,1
390,0.0,151.0,0.3871794871794872,2
391,0.0,151.0,0.38618925831202044,3
392,0.0,151.0,0.3852040816326531,4
393,1.0,152.0,0.38676844783715014,1
394,0.0,152.0,0.38578680203045684,2
395,0.0,152.0,0.3848101265822785,3
396,0.0,152.0,0.3838383838383838,4
397,0.0,152.0,0.38287153652392947,1
398,0.0,152.0,0.38190954773869346,2
399,1.0,153.0,0.38345864661654133,3
400,1.0,154.0,0.385,4
401,1.0,155.0,0.3865336658354115,1
402,0.0,155.0,0.3855721393034826,2
